rainfall start,HydRun start,HIP end,HydRun end,multipeak tag,HydRun detect?
NaN,6/24/14 23:15,6/27/14 6:45,6/29/14 2:15,,
NaN,7/3/14 17:15,7/5/14 1:00,7/5/14 23:45,,
NaN,7/6/14 1:45,7/6/14 12:45,7/6/14 19:45,,
NaN,7/8/14 18:45,7/10/14 6:15,7/11/14 5:45,,
NaN,7/15/14 13:15,7/16/14 16:15,7/18/14 5:15,,
NaN,7/28/14 2:00,7/30/14 1:00,7/31/14 7:00,,
NaN,8/6/14 21:45,8/8/14 7:00,8/10/14 7:15,MP,
NaN,8/13/14 10:30,8/15/14 4:00,8/16/14 20:00,,
NaN,8/16/14 20:15,8/18/14 15:15,8/19/14 17:30,,
NaN,10/18/14 13:30,10/20/14 7:15,10/20/14 13:15,,
NaN,10/23/14 12:00,10/25/14 11:00,10/25/14 20:30,,
NaN,10/25/14 20:45,10/27/14 7:30,10/27/14 17:45,,
NaN,10/29/14 2:45,10/31/14 4:45,10/31/14 23:00,,manual
NaN,11/6/14 20:00,11/9/14 21:00,11/11/14 3:45,,
NaN,11/17/14 12:45,11/19/14 3:45,11/20/14 10:15,MP,
NaN,11/23/14 6:00,11/26/14 11:15,11/27/14 23:30,,
NaN,4/9/15 11:30,4/11/15 18:15,4/12/15 11:45,,
NaN,4/12/15 14:15,4/13/15 7:30,4/13/15 12:00,,manual
NaN,4/13/15 12:15,4/15/15 8:30,4/16/15 12:45,,manual
NaN,4/20/15 8:30,4/21/15 1:15,4/21/15 6:00,,manual
NaN,4/21/15 6:15,4/22/15 3:45,4/22/15 9:45,,manual
NaN,4/22/15 16:30,4/23/15 15:15,4/23/15 22:30,,manual
4/26/15 20:15,4/27/15 2:30,4/29/15 10:15,4/30/15 10:00,,
5/4/15 22:30,5/4/15 22:45,5/6/15 4:30,5/6/15 10:15,,
5/10/15 13:15,5/11/15 8:45,5/13/15 13:00,5/15/15 9:30,,manual
5/27/15 4:30,5/27/15 11:30,5/28/15 9:00,5/28/15 14:00,,manual
5/30/15 19:45,5/30/15 18:45,5/31/15 13:00,6/1/15 1:00,,manual
5/31/15 21:15,6/1/15 1:15,6/2/15 14:15,6/3/15 11:00,,manual
6/5/15 18:45,6/5/15 20:00,6/7/15 0:00,6/7/15 17:45,,
6/9/15 4:00,6/9/15 4:30,6/10/15 18:00,6/11/15 2:30,,manual
6/12/15 14:30,6/12/15 16:45,6/14/15 0:15,6/15/15 4:45,,manual
6/16/15 10:15,6/16/15 9:15,6/17/15 16:15,6/18/15 21:00,,
6/18/15 22:00,6/18/15 22:00,6/19/15 23:15,6/20/15 14:30,,manual
6/21/15 22:00,6/21/15 22:30,6/22/15 22:30,6/23/15 10:45,,manual
6/23/15 8:30,6/23/15 11:00,6/23/15 23:45,6/25/15 3:15,,
6/28/15 4:00,6/28/15 5:30,6/30/15 7:15,7/1/15 1:45,,
7/1/15 6:00,7/1/15 9:45,7/2/15 11:45,7/3/15 20:15,,
7/8/15 1:15,7/8/15 3:00,7/9/15 6:15,7/10/15 9:00,,
7/18/15 1:15,7/18/15 1:45,7/18/15 23:30,7/19/15 7:30,,manual
7/19/15 6:45,7/19/15 7:45,7/20/15 19:30,7/21/15 12:15,MP,manual
7/21/15 13:00,7/21/15 12:30,7/22/15 13:30,7/24/15 8:45,,
7/26/15 0:00,7/25/15 19:30,7/26/15 10/45,7/26/15 16:45,,
7/27/15 23:00,7/27/15 22:30,7/29/15 0:45,7/30/15 9:45,,
7/30/15 12:00,7/30/15 12:15,7/31/15 14:45,8/1/15 9:30,,
8/10/15 23:00,8/11/15 9:00,8/13/15 7:30,8/14/15 9:15,MP,
9/7/15 22:45,9/7/15 23:45,9/10/15 12:45,9/11/15 16:15,MP,
9/13/15 7:45,9/13/15 19:30,9/15/15 13:15,9/16/15 12:00,,
9/29/15 13:30,9/29/15 23:00,10/1/15 17:45,10/3/15 11:45,,
NaN,10/9/15 7:45,10/11/15 5:15,10/12/15 12:15,,
10/28/15 13:15,10/28/15 13:45,10/30/15 9:45,11/1/15 6:45,,
11/1/15 4:15,11/1/15 13:30,11/2/15 18:00,11/3/15 8:45,,
11/12/15 14:45,11/12/15 14:30,11/15/15 2:00,11/16/15 3:45,,
11/19/15 22:30,11/19/15 22:00,11/20/15 22:00,11/21/15 23:45,,
11/27/15 20:15,11/27/15 17:30,11/29/15 8:30,11/30/15 10:15,,
12/1/15 16:15,12/1/15 9:15,12/4/15 19:00,12/6/15 19:00,,
4/7/16 10:15,4/7/16 9:00,4/9/16 8:00,4/10/16 11:00,,manual
4/11/16 7:30,4/11/16 14:00,4/13/16 6:00,4/14/16 9:45,,
4/18/16 18:15,4/18/16 23:30,4/20/16 0:45,4/20/16 13:00,,
4/22/16 3:00,4/22/16 3:30,4/24/16 6:15,4/25/16 0:45,,
4/26/16 10:00,4/26/16 15:45,4/27/16 12:45,4/27/16 17:15,,
5/1/16 12:15,5/1/16 18:45,5/4/16 4:15,5/5/16 10:15,,
