event_ID,study year,event_start,event_end
1,1,12/6/22 13:00,12/11/21 10:15
2,1,2/10/22 8:30,2/17/22 4:45
3,1,2/17/22 4:45,2/21/22 9:00
4,1,2/21/22 9:00,2/22/22 16:45
5,1,2/22/22 16:45,3/6/22 4:15
6,1,3/6/22 4:15,3/15/22 7:45
7,1,3/15/22 7:45,3/23/22 16:15
8,1,3/23/22 16:15,3/30/22 6:00
9,1,3/30/22 6:00,4/7/22 5:30
10,1,4/7/22 5:30,4/13/22 13:15
11,1,4/13/22 13:15,4/19/22 1:45
12,1,4/19/22 1:45,4/26/22 2:15
13,1,5/14/22 21:15,5/27/22 4:15
14,1,5/27/22 4:15,6/1/22 20:30
1,2,12/29/22 22:30,1/4/23 23:45
2,2,1/4/23 23:45,1/13/23 0:15
3,2,1/13/23 0:15,1/18/23 4:15
4,2,2/9/23 19:00,2/15/23 17:15
5,2,2/15/23 17:15,2/23/23 7:30
6,2,3/17/23 16:45,3/20/23 7:30
7,2,3/31/23 21:30,4/5/23 15:45
8,2,4/5/23 15:45,4/11/23 11:45
