Date,"Modeled
Snow
Precipitation
(mm of water)","Modeled
Non-Snow
Precipitation
(mm of water)","Observed
Snow
Precipitation
(mm of water)","Observed
Non-Snow
Precipitation
(mm of water)","Observed
Unknown
Precipitation
(mm of water)","Modeled
Snow Water
Equivalent
(cm)","Modeled
Snow
Depth
(cm)","Observed
Present
Weather"
2022-10-10 04,0,0,,,,0,0,
2022-10-10 05,0,0,,,,0,0,
2022-10-10 06,0,0,,,,0,0,
2022-10-10 07,0,0,,,,0,0,
2022-10-10 08,0,0,,,,0,0,
2022-10-10 09,0,0,,,,0,0,No Precip
2022-10-10 10,0,0,,,0,0,0,
2022-10-10 11,0,0,,,0,0,0,
2022-10-10 12,0,0,,,0,0,0,
2022-10-10 13,0,0,,,0,0,0,
2022-10-10 14,0,0,,,0,0,0,
2022-10-10 15,0,0,,,0,0,0,
2022-10-10 16,0,0,,,0,0,0,
2022-10-10 17,0,0,,,0,0,0,
2022-10-10 18,0,0,,,0,0,0,
2022-10-10 19,0,0,,,0,0,0,
2022-10-10 20,0,0,,,0,0,0,
2022-10-10 21,0,0,,,0,0,0,
2022-10-10 22,0,0,,,0,0,0,
2022-10-10 23,0,0,,,0,0,0,
2022-10-11 00,0,0,,,0,0,0,
2022-10-11 01,0,0,,,0,0,0,
2022-10-11 02,0,0,,,0,0,0,
2022-10-11 03,0,0,,,0,0,0,
2022-10-11 04,0,0,,,0,0,0,
2022-10-11 05,0,0,,,0,0,0,
2022-10-11 06,0,0,,,0,0,0,
2022-10-11 07,0,0,,,0,0,0,
2022-10-11 08,0,0,,,0,0,0,
2022-10-11 09,0,0,,,,0,0,No Precip
2022-10-11 10,0,0,,,,0,0,
2022-10-11 11,0,0,,,,0,0,
2022-10-11 12,0,0,,,,0,0,
2022-10-11 13,0,0,,,,0,0,
2022-10-11 14,0,0,,,,0,0,
2022-10-11 15,0,0,,,,0,0,
2022-10-11 16,0,0,,,,0,0,
2022-10-11 17,0,0,,,,0,0,
2022-10-11 18,0,0,,,,0,0,
2022-10-11 19,0,0,,,,0,0,
2022-10-11 20,0,0,,,,0,0,
2022-10-11 21,0,0,,,,0,0,
2022-10-11 22,0,0,,,,0,0,
2022-10-11 23,0,0,,,,0,0,
2022-10-12 00,0,0,,,,0,0,
2022-10-12 01,0,0,,,,0,0,
2022-10-12 02,0,0,,,,0,0,
2022-10-12 03,0,0,,,,0,0,
2022-10-12 04,0,0,,,,0,0,
2022-10-12 05,0,0,,,,0,0,
2022-10-12 06,0,0,,,,0,0,
2022-10-12 07,0,0,,,,0,0,
2022-10-12 08,0,0,,,,0,0,
2022-10-12 09,0,0,,,,0,0,
2022-10-12 10,0,0,,,,0,0,
2022-10-12 11,0,0,,,,0,0,
2022-10-12 12,0,0,,,,0,0,
2022-10-12 13,0,0,,,,0,0,
2022-10-12 14,0,0,,,,0,0,
2022-10-12 15,0,0,,,,0,0,
2022-10-12 16,0,0,,,0.01,0,0,
2022-10-12 17,0,0,,,0.01,0,0,
2022-10-12 18,0,0,,,0.01,0,0,
2022-10-12 19,0,0,,,0.01,0,0,
2022-10-12 20,0,0,,,0.01,0,0,
2022-10-12 21,0,0,,,0.01,0,0,
2022-10-12 22,0,0,,,0.01,0,0,
2022-10-12 23,0,0,,,0.01,0,0,
2022-10-13 00,0,0,,,0.01,0,0,
2022-10-13 01,0,0,,,0.01,0,0,
2022-10-13 02,0,0,,,0.01,0,0,
2022-10-13 03,0,0,,,0.01,0,0,
2022-10-13 04,0,0,,,0.01,0,0,
2022-10-13 05,0,0,,,0.01,0,0,
2022-10-13 06,0,0,,,0.01,0,0,
2022-10-13 07,0,0,,,0.01,0,0,
2022-10-13 08,0,0,,,0.01,0,0,
2022-10-13 09,0,0,,,0.01,0,0,
2022-10-13 10,0,0,,,0.01,0,0,
2022-10-13 11,0,0,,,0.01,0,0,
2022-10-13 12,0,0,,,0.01,0,0,
2022-10-13 13,0,0,,,0.01,0,0,
2022-10-13 14,0,0,,,0.01,0,0,
2022-10-13 15,0,0,,,0.01,0,0,No Precip
2022-10-13 16,0,0,,,0,0,0,
2022-10-13 17,0,0,,,0,0,0,
2022-10-13 18,0,0,,,0,0,0,
2022-10-13 19,0,0,,,0,0,0,
2022-10-13 20,0,0.02,,,0.04,0,0,
2022-10-13 21,0,0.03,,,1.13,0,0,
2022-10-13 22,0,0.08,,,2.11,0,0,
2022-10-13 23,0,0.01,,,0.04,0,0,
2022-10-14 00,0,0.2,,,1.06,0,0,
2022-10-14 01,0,5.86,,,0.04,0,0,
2022-10-14 02,0,4.96,,,1.06,0,0,
2022-10-14 03,0,5.32,,,0.15,0,0,
2022-10-14 04,0,6.54,,,4.41,0,0,
2022-10-14 05,0,3.25,,,5.43,0,0,
2022-10-14 06,0,3.2,,,4.37,0,0,
2022-10-14 07,0,3.02,,,4.45,0,0,
2022-10-14 08,0,1.77,,,6.52,0,0,
2022-10-14 09,0,2.17,,,5.36,0,0,
2022-10-14 10,0,2.42,,,2.15,0,0,
2022-10-14 11,0,1.08,,,0.82,0,0,Rain
2022-10-14 12,0,3.44,,,0.01,0,0,
2022-10-14 13,0,0.98,,,0.38,0,0,
2022-10-14 14,0,0.61,,,0.73,0,0,
2022-10-14 15,0,0.07,,,0.73,0,0,
2022-10-14 16,0,0,,,0.81,0,0,
2022-10-14 17,0,0,,,2.86,0,0,
2022-10-14 18,0,0,,,0.72,0,0,
2022-10-14 19,0,0,,,0.35,0,0,
2022-10-14 20,0,0,,,0,0,0,
2022-10-14 21,0,0,,,0,0,0,
2022-10-14 22,0,0,,,0,0,0,
2022-10-14 23,0,0,,,0,0,0,
2022-10-15 00,0,0,,,0,0,0,
2022-10-15 01,0,0,,,0,0,0,
2022-10-15 02,0,0,,,0,0,0,
2022-10-15 03,0,0,,,0,0,0,
2022-10-15 04,0,0,,,0,0,0,
2022-10-15 05,0,0,,,0,0,0,
2022-10-15 06,0,0,,,0,0,0,
2022-10-15 07,0,0,,,0,0,0,
2022-10-15 08,0,0,,,0,0,0,
2022-10-15 09,0,0,,,0,0,0,
2022-10-15 10,0,0,,,0,0,0,
2022-10-15 11,0,0,,,0,0,0,No Precip
2022-10-15 12,0,0,,,0,0,0,
2022-10-15 13,0,0,,,0,0,0,
2022-10-15 14,0,0,,,0,0,0,
2022-10-15 15,0,0,,,0,0,0,
2022-10-15 16,0,0,,,0,0,0,
2022-10-15 17,0,0,,,0,0,0,
2022-10-15 18,0,0,,,0,0,0,
2022-10-15 19,0,0,,,0,0,0,
2022-10-15 20,0,0,,,0,0,0,
2022-10-15 21,0,0,,,0,0,0,
2022-10-15 22,0,0,,,0,0,0,
2022-10-15 23,0,0,,,0,0,0,
2022-10-16 00,0,0,,,0,0,0,
2022-10-16 01,0,0,,,0,0,0,
2022-10-16 02,0,0,,,0,0,0,
2022-10-16 03,0,0,,,0,0,0,
2022-10-16 04,0,0,,,0,0,0,
2022-10-16 05,0,0,,,0,0,0,
2022-10-16 06,0,0,,,0,0,0,
2022-10-16 07,0,0,,,0,0,0,
2022-10-16 08,0,0,,,0,0,0,
2022-10-16 09,0,0,,,0,0,0,
2022-10-16 10,0,0,,,0,0,0,
2022-10-16 11,0,0,,,0,0,0,
2022-10-16 12,0,0,,,0,0,0,
2022-10-16 13,0,0,,,0,0,0,
2022-10-16 14,0,0,,,0,0,0,
2022-10-16 15,0,0,,,0,0,0,
2022-10-16 16,0,0,,,0,0,0,
2022-10-16 17,0,0,,,0,0,0,
2022-10-16 18,0,0,,,0,0,0,
2022-10-16 19,0,0,,,0,0,0,
2022-10-16 20,0,0,,,0,0,0,
2022-10-16 21,0,0,,,0,0,0,
2022-10-16 22,0,0,,,0,0,0,
2022-10-16 23,0,0,,,0,0,0,
2022-10-17 00,0,0,,,0,0,0,
2022-10-17 01,0,0,,,0,0,0,
2022-10-17 02,0,0,,,0,0,0,
2022-10-17 03,0,0,,,0,0,0,
2022-10-17 04,0,0,,,0,0,0,
2022-10-17 05,0,0,,,0,0,0,
2022-10-17 06,0,0,,,0,0,0,
2022-10-17 07,0,0,,,0,0,0,
2022-10-17 08,0,0,,,0,0,0,
2022-10-17 09,0,0,,,,0,0,No Precip
2022-10-17 10,0,0,,,0,0,0,
2022-10-17 11,0,0,,,0,0,0,
2022-10-17 12,0,0,,,0,0,0,
2022-10-17 13,0,0,,,0,0,0,
2022-10-17 14,0,0,,,0,0,0,
2022-10-17 15,0,0,,,0,0,0,
2022-10-17 16,0,0,,,0,0,0,
2022-10-17 17,0,0,,,0,0,0,
2022-10-17 18,0,0,,,0,0,0,
2022-10-17 19,0,0,,,0,0,0,
2022-10-17 20,0,0,,,0,0,0,
2022-10-17 21,0,0.1,,,0,0,0,
2022-10-17 22,0,0.03,,,0,0,0,
2022-10-17 23,0,0,,,0,0,0,
2022-10-18 00,0,0,,,0,0,0,
2022-10-18 01,0,0,,,0,0,0,
2022-10-18 02,0,0,,,0,0,0,
2022-10-18 03,0,0,,,0,0,0,
2022-10-18 04,0,0.14,,,0,0,0,
2022-10-18 05,0,0,,,0,0,0,
2022-10-18 06,0,0.01,,,0,0,0,
2022-10-18 07,0,0,,,0,0,0,
2022-10-18 08,0,0,,,0.15,0,0,
2022-10-18 09,0,0,,,,0,0,Rain
2022-10-18 10,0,0.03,,,0.37,0,0,
2022-10-18 11,0,0.38,,,0.36,0,0,
2022-10-18 12,0,0.06,,,0,0,0,
2022-10-18 13,0,0.01,,,0,0,0,
2022-10-18 14,0,0.01,,,0,0,0,
2022-10-18 15,0,0.1,,,0,0,0,
2022-10-18 16,0,0.21,,,0.01,0,0,
2022-10-18 17,0,0.02,,,0.37,0,0,
2022-10-18 18,0,0.33,,,0.39,0,0,
2022-10-18 19,0,0.05,,,0.73,0,0,
2022-10-18 20,0,0,,,0.36,0,0,
2022-10-18 21,0,0,,,0.01,0,0,
2022-10-18 22,0,0,,,0.36,0,0,
2022-10-18 23,0,0,,,0,0,0,
2022-10-19 00,0,0,,,0,0,0,
2022-10-19 01,0,0,,,0,0,0,
2022-10-19 02,0,0,,,0,0,0,
2022-10-19 03,0,0,,,0,0,0,
2022-10-19 04,0,0,,,0,0,0,
2022-10-19 05,0,0,,,0,0,0,
2022-10-19 06,0,0,,,0,0,0,
2022-10-19 07,0,0,,,0,0,0,
2022-10-19 08,0,0,,,0,0,0,
2022-10-19 09,0,0,,,,0,0,No Precip
2022-10-19 10,0,0,,,,0,0,
2022-10-19 11,0,0,,,,0,0,
2022-10-19 12,0,0,,,0,0,0,
2022-10-19 13,0,0,,,0,0,0,
2022-10-19 14,0,0,,,0,0,0,
2022-10-19 15,0,0,,,0,0,0,
2022-10-19 16,0,0,,,0,0,0,
2022-10-19 17,0,0,,,0,0,0,
2022-10-19 18,0,0,,,0,0,0,
2022-10-19 19,0,0,,,0,0,0,
2022-10-19 20,0,0,,,0,0,0,
2022-10-19 21,0,0,,,0,0,0,
2022-10-19 22,0,0,,,0,0,0,
2022-10-19 23,0,0,,,0,0,0,
2022-10-20 00,0,0,,,0,0,0,
2022-10-20 01,0,0,,,0,0,0,
2022-10-20 02,0,0,,,0,0,0,
2022-10-20 03,0,0,,,0,0,0,
2022-10-20 04,0,0,,,0,0,0,
2022-10-20 05,0,0,,,0,0,0,
2022-10-20 06,0,0,,,0,0,0,
2022-10-20 07,0,0,,,0,0,0,
2022-10-20 08,0,0,,,0,0,0,
2022-10-20 09,0,0,,,0,0,0,
2022-10-20 10,0,0,,,0,0,0,
2022-10-20 11,0,0,,,0,0,0,
2022-10-20 12,0,0,,,0,0,0,
2022-10-20 13,0,0,,,0,0,0,
2022-10-20 14,0,0,,,0,0,0,
2022-10-20 15,0,0,,,0,0,0,
2022-10-20 16,0,0,,,0,0,0,
2022-10-20 17,0,0,,,0,0,0,
2022-10-20 18,0,0,,,0,0,0,
2022-10-20 19,0,0,,,0,0,0,
2022-10-20 20,0,0,,,0,0,0,
2022-10-20 21,0,0,,,0,0,0,
2022-10-20 22,0,0,,,0,0,0,
2022-10-20 23,0,0,,,0,0,0,
2022-10-21 00,0,0,,,0,0,0,
2022-10-21 01,0,0,,,0,0,0,
2022-10-21 02,0,0,,,0,0,0,
2022-10-21 03,0,0,,,0,0,0,
2022-10-21 04,0,0,,,0,0,0,
2022-10-21 05,0,0,,,0,0,0,
2022-10-21 06,0,0,,,0,0,0,
2022-10-21 07,0,0,,,0,0,0,
2022-10-21 08,0,0,,,0,0,0,
2022-10-21 09,0,0,,,0,0,0,
2022-10-21 10,0,0,,,0,0,0,
2022-10-21 11,0,0,,,0,0,0,No Precip
2022-10-21 12,0,0,,,0,0,0,
2022-10-21 13,0,0,,,0,0,0,
2022-10-21 14,0,0,,,0,0,0,
2022-10-21 15,0,0,,,0,0,0,
2022-10-21 16,0,0,,,0,0,0,
2022-10-21 17,0,0,,,0,0,0,
2022-10-21 18,0,0,,,0,0,0,
2022-10-21 19,0,0,,,0,0,0,
2022-10-21 20,0,0,,,0,0,0,
2022-10-21 21,0,0,,,0,0,0,
2022-10-21 22,0,0,,,0,0,0,
2022-10-21 23,0,0,,,0,0,0,
2022-10-22 00,0,0,,,0,0,0,
2022-10-22 01,0,0,,,0,0,0,
2022-10-22 02,0,0,,,0,0,0,
2022-10-22 03,0,0,,,0,0,0,
2022-10-22 04,0,0,,,0,0,0,
2022-10-22 05,0,0,,,0,0,0,
2022-10-22 06,0,0,,,0,0,0,
2022-10-22 07,0,0,,,0,0,0,
2022-10-22 08,0,0,,,0,0,0,
2022-10-22 09,0,0,,,0,0,0,
2022-10-22 10,0,0,,,0,0,0,
2022-10-22 11,0,0,,,0,0,0,No Precip
2022-10-22 12,0,0,,,0,0,0,
2022-10-22 13,0,0,,,0,0,0,
2022-10-22 14,0,0,,,0,0,0,
2022-10-22 15,0,0,,,0,0,0,
2022-10-22 16,0,0,,,0,0,0,
2022-10-22 17,0,0,,,0,0,0,
2022-10-22 18,0,0,,,0,0,0,
2022-10-22 19,0,0,,,0,0,0,
2022-10-22 20,0,0,,,0,0,0,
2022-10-22 21,0,0,,,0,0,0,
2022-10-22 22,0,0,,,0,0,0,
2022-10-22 23,0,0,,,0,0,0,
2022-10-23 00,0,0,,,0,0,0,
2022-10-23 01,0,0,,,0,0,0,
2022-10-23 02,0,0,,,0,0,0,
2022-10-23 03,0,0,,,0,0,0,
2022-10-23 04,0,0,,,0,0,0,
2022-10-23 05,0,0,,,0,0,0,
2022-10-23 06,0,0,,,0,0,0,
2022-10-23 07,0,0,,,0,0,0,
2022-10-23 08,0,0,,,0,0,0,
2022-10-23 09,0,0,,,0,0,0,
2022-10-23 10,0,0,,,0,0,0,
2022-10-23 11,0,0,,,0,0,0,
2022-10-23 12,0,0,,,0,0,0,
2022-10-23 13,0,0,,,0,0,0,
2022-10-23 14,0,0,,,0,0,0,
2022-10-23 15,0,0,,,0,0,0,
2022-10-23 16,0,0,,,0,0,0,
2022-10-23 17,0,0,,,0,0,0,
2022-10-23 18,0,0,,,0,0,0,
2022-10-23 19,0,0,,,0,0,0,
2022-10-23 20,0,0,,,0,0,0,
2022-10-23 21,0,0,,,0,0,0,
2022-10-23 22,0,0,,,0,0,0,
2022-10-23 23,0,0,,,0,0,0,
2022-10-24 00,0,0,,,0,0,0,
2022-10-24 01,0,0,,,0,0,0,
2022-10-24 02,0,0,,,0,0,0,
2022-10-24 03,0,0,,,0,0,0,
2022-10-24 04,0,0,,,0,0,0,
2022-10-24 05,0,0,,,0,0,0,
2022-10-24 06,0,0,,,0,0,0,
2022-10-24 07,0,0,,,0,0,0,
2022-10-24 08,0,0,,,0,0,0,
2022-10-24 09,0,0,,,,0,0,No Precip
2022-10-24 10,0,0,,,0,0,0,
2022-10-24 11,0,0,,,0.09,0,0,
2022-10-24 12,0,0,,,2.54,0,0,
2022-10-24 13,0,0,,,0.17,0,0,
2022-10-24 14,0,0.04,,,5.07,0,0,
2022-10-24 15,0,0,,,0,0,0,
2022-10-24 16,0,0,,,0,0,0,
2022-10-24 17,0,0,,,0,0,0,
2022-10-24 18,0,0,,,0,0,0,
2022-10-24 19,0,0,,,0,0,0,
2022-10-24 20,0,0,,,0,0,0,
2022-10-24 21,0,0,,,0,0,0,
2022-10-24 22,0,0,,,0,0,0,
2022-10-24 23,0,0,,,0,0,0,
2022-10-25 00,0,0,,,0,0,0,
2022-10-25 01,0,0,,,0,0,0,
2022-10-25 02,0,0,,,0,0,0,
2022-10-25 03,0,0,,,0,0,0,
2022-10-25 04,0,0,,,0,0,0,
2022-10-25 05,0,0,,,0,0,0,
2022-10-25 06,0,0,,,0,0,0,
2022-10-25 07,0,0,,,0,0,0,
2022-10-25 08,0,0,,,0,0,0,
2022-10-25 09,0,0,,,0,0,0,No Precip
2022-10-25 10,0,0,,,0,0,0,
2022-10-25 11,0,0,,,0,0,0,
2022-10-25 12,0,0,,,0,0,0,
2022-10-25 13,0,0,,,0,0,0,
2022-10-25 14,0,0,,,0,0,0,
2022-10-25 15,0,0,,,0,0,0,
2022-10-25 16,0,0,,,0,0,0,
2022-10-25 17,0,0,,,0,0,0,
2022-10-25 18,0,0,,,0,0,0,
2022-10-25 19,0,0,,,0,0,0,
2022-10-25 20,0,0,,,0,0,0,
2022-10-25 21,0,0,,,0,0,0,
2022-10-25 22,0,0,,,0,0,0,
2022-10-25 23,0,0,,,0,0,0,
2022-10-26 00,0,0,,,0,0,0,
2022-10-26 01,0,0,,,0,0,0,
2022-10-26 02,0,0,,,0,0,0,
2022-10-26 03,0,0,,,0,0,0,
2022-10-26 04,0,0,,,0,0,0,
2022-10-26 05,0,0,,,0,0,0,
2022-10-26 06,0,0,,,0,0,0,
2022-10-26 07,0,0,,,0,0,0,
2022-10-26 08,0,0,,,0,0,0,
2022-10-26 09,0,0,,,0,0,0,No Precip
2022-10-26 10,0,0,,,0,0,0,
2022-10-26 11,0,0,,,0,0,0,
2022-10-26 12,0,0,,,0,0,0,
2022-10-26 13,0,0,,,0.03,0,0,
2022-10-26 14,0,0,,,1.05,0,0,
2022-10-26 15,0,0,,,2.03,0,0,
2022-10-26 16,0,0,,,2,0,0,
2022-10-26 17,0,0,,,1.02,0,0,
2022-10-26 18,0,0,,,0.98,0,0,
2022-10-26 19,0,0,,,0,0,0,
2022-10-26 20,0,0,,,0,0,0,
2022-10-26 21,0,0,,,0,0,0,
2022-10-26 22,0,0,,,0,0,0,
