Date,"Modeled
Snow
Precipitation
(mm of water)","Modeled
Non-Snow
Precipitation
(mm of water)","Observed
Snow
Precipitation
(mm of water)","Observed
Non-Snow
Precipitation
(mm of water)","Observed
Unknown
Precipitation
(mm of water)","Modeled
Snow Water
Equivalent
(cm)","Modeled
Snow
Depth
(cm)","Observed
Present
Weather"
2022-10-01 05,0,0,,,0,0,0,
2022-10-01 06,0,0,,,0,0,0,
2022-10-01 07,0,0,,,0,0,0,
2022-10-01 08,0,0,,,0,0,0,
2022-10-01 09,0,0,,,0,0,0,
2022-10-01 10,0,0,,,0,0,0,
2022-10-01 11,0,0,,,0,0,0,
2022-10-01 12,0,0,,,0,0,0,
2022-10-01 13,0,0,,,0,0,0,
2022-10-01 14,0,0,,,0,0,0,No Precip
2022-10-01 15,0,0,,,0,0,0,
2022-10-01 16,0,0,,,0,0,0,
2022-10-01 17,0,0,,,0,0,0,
2022-10-01 18,0,0,,,0,0,0,
2022-10-01 19,0,0,,,0,0,0,
2022-10-01 20,0,0,,,0,0,0,
2022-10-01 21,0,0,,,0,0,0,
2022-10-01 22,0,0,,,0,0,0,
2022-10-01 23,0,0,,,0,0,0,
2022-10-02 00,0,0,,,0,0,0,
2022-10-02 01,0,0,,,0,0,0,
2022-10-02 02,0,0,,,0,0,0,
2022-10-02 03,0,0,,,0,0,0,
2022-10-02 04,0,0,,,0,0,0,
2022-10-02 05,0,0,,,0,0,0,
2022-10-02 06,0,0,,,0,0,0,
2022-10-02 07,0,0,,,0,0,0,
2022-10-02 08,0,0,,,,0,0,No Precip
2022-10-02 09,0,0,,,,0,0,
2022-10-02 10,0,0,,,,0,0,
2022-10-02 11,0,0,,,,0,0,
2022-10-02 12,0,0,,,,0,0,
2022-10-02 13,0,0,,,,0,0,
2022-10-02 14,0,0,,,,0,0,
2022-10-02 15,0,0,,,,0,0,
2022-10-02 16,0,0,,,,0,0,
2022-10-02 17,0,0,,,,0,0,
2022-10-02 18,0,0,,,,0,0,
2022-10-02 19,0,0,,,,0,0,
2022-10-02 20,0,0,,,,0,0,
2022-10-02 21,0,0,,,,0,0,
2022-10-02 22,0,0,,,,0,0,
2022-10-02 23,0,0,,,,0,0,
2022-10-03 00,0,0,,,,0,0,
2022-10-03 01,0,0,,,,0,0,
2022-10-03 02,0,0,,,,0,0,
2022-10-03 03,0,0,,,,0,0,
2022-10-03 04,0,0,,,,0,0,
2022-10-03 05,0,0,,,,0,0,
2022-10-03 06,0,0,,,,0,0,
2022-10-03 07,0,0,,,,0,0,
2022-10-03 08,0,0,,,,0,0,
2022-10-03 09,0,0,,,,0,0,
2022-10-03 10,0,0,,,,0,0,
2022-10-03 11,0,0,,,,0,0,
2022-10-03 12,0,0,,,,0,0,
2022-10-03 13,0,0,,,,0,0,
2022-10-03 14,0,0,,,,0,0,
2022-10-03 15,0,0,,,,0,0,
2022-10-03 16,0,0,,,,0,0,
2022-10-03 17,0,0,,,,0,0,
2022-10-03 18,0,0,,,,0,0,
2022-10-03 19,0,0,,,,0,0,
2022-10-03 20,0,0,,,,0,0,
2022-10-03 21,0,0,,,,0,0,
2022-10-03 22,0,0,,,,0,0,
2022-10-03 23,0,0,,,,0,0,
2022-10-04 00,0,0,,,,0,0,
2022-10-04 01,0,0,,,,0,0,
2022-10-04 02,0,0,,,,0,0,
2022-10-04 03,0,0,,,,0,0,
2022-10-04 04,0,0,,,,0,0,
2022-10-04 05,0,0,,,,0,0,
2022-10-04 06,0,0,,,,0,0,
2022-10-04 07,0,0,,,,0,0,
2022-10-04 08,0,0,,,,0,0,
2022-10-04 09,0,0,,,,0,0,
2022-10-04 10,0,0,,,,0,0,
2022-10-04 11,0,0,,,,0,0,
2022-10-04 12,0,0,,,,0,0,
2022-10-04 13,0,0,,,,0,0,
2022-10-04 14,0,0,,,,0,0,
2022-10-04 15,0,0,,,,0,0,
2022-10-04 16,0,0,,,,0,0,
2022-10-04 17,0,0,,,,0,0,
2022-10-04 18,0,0,,,,0,0,
2022-10-04 19,0,0,,,,0,0,
2022-10-04 20,0,0,,,,0,0,
2022-10-04 21,0,0,,,,0,0,
2022-10-04 22,0,0,,,,0,0,
2022-10-04 23,0,0,,,,0,0,
2022-10-05 00,0,0,,,,0,0,
2022-10-05 01,0,0,,,,0,0,
2022-10-05 02,0,0,,,,0,0,
2022-10-05 03,0,0,,,,0,0,
2022-10-05 04,0,0,,,,0,0,
2022-10-05 05,0,0,,,,0,0,
2022-10-05 06,0,0,,,,0,0,
2022-10-05 07,0,0,,,,0,0,
2022-10-05 08,0,0,,,,0,0,
2022-10-05 09,0,0,,,,0,0,
2022-10-05 10,0,0,,,,0,0,
2022-10-05 11,0,0,,,,0,0,
2022-10-05 12,0,0,,,,0,0,
2022-10-05 13,0,0,,,,0,0,
2022-10-05 14,0,0,,,,0,0,
2022-10-05 15,0,0,,,,0,0,
2022-10-05 16,0,0,,,,0,0,
2022-10-05 17,0,0,,,,0,0,
2022-10-05 18,0,0,,,,0,0,
2022-10-05 19,0,0,,,,0,0,
2022-10-05 20,0,0,,,,0,0,
2022-10-05 21,0,0,,,,0,0,
2022-10-05 22,0,0,,,,0,0,
2022-10-05 23,0,0,,,,0,0,
2022-10-06 00,0,0,,,,0,0,
2022-10-06 01,0,0,,,,0,0,
2022-10-06 02,0,0,,,,0,0,
2022-10-06 03,0,0,,,,0,0,
2022-10-06 04,0,0,,,,0,0,
2022-10-06 05,0,0,,,,0,0,
2022-10-06 06,0,0,,,,0,0,
2022-10-06 07,0,0,,,,0,0,
2022-10-06 08,0,0,,,,0,0,
2022-10-06 09,0,0,,,,0,0,
2022-10-06 10,0,0,,,,0,0,
2022-10-06 11,0,0,,,,0,0,
2022-10-06 12,0,0,,,,0,0,
2022-10-06 13,0,0,,,,0,0,
2022-10-06 14,0,0,,,,0,0,
2022-10-06 15,0,0,,,,0,0,
2022-10-06 16,0,0,,,,0,0,
2022-10-06 17,0,0,,,,0,0,
2022-10-06 18,0,0,,,,0,0,
2022-10-06 19,0,0,,,,0,0,
2022-10-06 20,0,0,,,,0,0,
2022-10-06 21,0,0,,,,0,0,
2022-10-06 22,0,0,,,,0,0,
2022-10-06 23,0,0,,,,0,0,
2022-10-07 00,0,0,,,,0,0,
2022-10-07 01,0,0,,,,0,0,
2022-10-07 02,0,0.18,,,,0,0,
2022-10-07 03,0,0,,,,0,0,
2022-10-07 04,0,0.14,,,,0,0,
2022-10-07 05,0,0,,,,0,0,
2022-10-07 06,0,0.23,,,,0,0,
2022-10-07 07,0,0.16,,,,0,0,
2022-10-07 08,0,0,,,,0,0,
2022-10-07 09,0,0,,,,0,0,
2022-10-07 10,0,0.68,,,,0,0,
2022-10-07 11,0,1.37,,,,0,0,
2022-10-07 12,0,0.23,,,,0,0,
2022-10-07 13,0,0,,,,0,0,
2022-10-07 14,0,0,,,,0,0,
2022-10-07 15,0,0,,,,0,0,
2022-10-07 16,0,0,,,,0,0,
2022-10-07 17,0,1.47,,,,0,0,
2022-10-07 18,0,0,,,,0,0,
2022-10-07 19,0,0.05,,,,0,0,
2022-10-07 20,0,0,,,,0,0,
2022-10-07 21,0,0,,,,0,0,
2022-10-07 22,0,0,,,,0,0,
2022-10-07 23,0,0,,,,0,0,
2022-10-08 00,0,0,,,,0,0,
2022-10-08 01,0,0,,,,0,0,
2022-10-08 02,0,0,,,,0,0,
2022-10-08 03,0,0,,,,0,0,
2022-10-08 04,0,0,,,,0,0,
2022-10-08 05,0,0,,,,0,0,
2022-10-08 06,0,0,,,,0,0,
2022-10-08 07,0,0,,,,0,0,
2022-10-08 08,0,0,,,,0,0,
2022-10-08 09,0,0,,,,0,0,
2022-10-08 10,0,0,,,,0,0,
2022-10-08 11,0,0,,,,0,0,
2022-10-08 12,0,0,,,,0,0,
2022-10-08 13,0,0,,,,0,0,
2022-10-08 14,0,0,,,,0,0,
2022-10-08 15,0,0,,,,0,0,
2022-10-08 16,0,0,,,,0,0,
2022-10-08 17,0,0,,,,0,0,
2022-10-08 18,0,0,,,,0,0,
2022-10-08 19,0,0,,,,0,0,
2022-10-08 20,0,0,,,,0,0,
2022-10-08 21,0,0,,,,0,0,
2022-10-08 22,0,0,,,,0,0,
2022-10-08 23,0,0,,,,0,0,
2022-10-09 00,0,0,,,,0,0,
2022-10-09 01,0,0,,,,0,0,
2022-10-09 02,0,0,,,,0,0,
2022-10-09 03,0,0,,,,0,0,
2022-10-09 04,0,0,,,,0,0,
2022-10-09 05,0,0,,,,0,0,
2022-10-09 06,0,0,,,,0,0,
2022-10-09 07,0,0,,,,0,0,
2022-10-09 08,0,0,,,,0,0,
2022-10-09 09,0,0,,,,0,0,
2022-10-09 10,0,0,,,,0,0,
2022-10-09 11,0,0,,,,0,0,
2022-10-09 12,0,0.03,,,,0,0,
2022-10-09 13,0,0.01,,,,0,0,
2022-10-09 14,0,0,,,,0,0,
2022-10-09 15,0,0,,,,0,0,
2022-10-09 16,0,0.84,,,,0,0,
2022-10-09 17,0,1.68,,,,0,0,
2022-10-09 18,0,0.08,,,,0,0,
2022-10-09 19,0,0.43,,,,0,0,
2022-10-09 20,0,0,,,,0,0,
2022-10-09 21,0,0,,,,0,0,
2022-10-09 22,0,0,,,,0,0,
2022-10-09 23,0,0,,,,0,0,
2022-10-10 00,0,0,,,,0,0,
2022-10-10 01,0,0,,,,0,0,
2022-10-10 02,0,0,,,,0,0,
2022-10-10 03,0,0,,,,0,0,
